package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
mizani,0.9.2,0.9.2,,,,,Scales for Python,BSD (3-clause),PyPI,1625734.0
mkl,2023.2.0,,,Math library for Intel and compatible processors,LicenseRef-ProprietaryIntel,Anaconda,,,,328624.0
ml-dtypes,0.2.0,0.2.0,,,,,,,,1572156.0
mlxtend,0.22.0,0.22.0,,,,,Machine Learning Library Extensions,BSD 3-Clause,PyPI,739173.0
more-itertools,10.1.0,9.1.0,8.10.0,"More routines for operating on iterables, beyond itertools",MIT,Anaconda,,,,31437043.0
moviepy,1.0.3,,,,,,,,,586205.0
mpmath,1.3.0,1.3.0,0.0.0,Python library for arbitrary-precision floating-point arithmetic,BSD-3-Clause,Anaconda,,,,7846549.0
msgpack,1.0.5,1.0.5,,,,,MessagePack (de)serializer.,Apache 2.0,PyPI,29868937.0
multidict,6.0.4,6.0.4,6.0.4,The multidict implementation,Apache-2.0,Anaconda,,,,57829869.0
multipledispatch,1.0.0,1.0.0,,Multiple dispatch in Python,BSD 3-Clause,Anaconda,,,,1112865.0
multitasking,0.0.11,,,,,,,,,505446.0
murmurhash,1.0.9,1.0.9,,,,,Cython bindings for MurmurHash,MIT,PyPI,3745176.0
music21,9.1.0,,,,,,,,,
natsort,8.4.0,,,Sort lists naturally,MIT,Anaconda,,,,2898492.0
nbclassic,1.0.0,1.0.0,1.0.0,Jupyter Notebook as a Jupyter Server Extension.,BSD-3-Clause,Anaconda,,,,7865203.0
nbclient,0.8.0,0.5.13,0.8.0,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,BSD-3-Clause,Anaconda,,,,10092556.0
nbconvert,6.5.4,6.4.5,7.4.0,Converting Jupyter Notebooks,BSD-3-Clause,Anaconda,,,,16653551.0
nbformat,5.9.2,5.9.0,5.8.0,The Jupyter Notebook format,BSD-3-Clause,Anaconda,,,,15429301.0
nest-asyncio,1.5.7,1.5.6,1.5.6,Patch asyncio to allow nested event loops,BSD-2-Clause,Anaconda,,,,20831620.0
networkx,3.1,3.1,3.1,Python package for creating and manipulating complex networks,BSD-3-Clause,Anaconda,,,,23428903.0
nibabel,4.0.2,5.1.0,,,,,Access a multitude of neuroimaging data formats,MIT License,PyPI,257218.0
nltk,3.8.1,3.2.4,3.6.7,Natural Language Toolkit,Apache-2.0,Anaconda,,,,9907356.0
notebook,6.5.5,6.5.4,6.5.4,Jupyter Notebook,BSD-3-Clause,Anaconda,,,,13375500.0
notebook-shim,0.2.3,0.2.3,0.2.3,A shim layer for notebook traits and config,BSD-3-Clause,Anaconda,,,,10270355.0
numba,0.56.4,0.57.1,,NumPy aware dynamic Python compiler using LLVM,BSD-2-Clause,Anaconda,,,,12870170.0
numexpr,2.8.5,2.8.4,,Fast numerical expression evaluator for NumPy.,MIT,Anaconda,,,,5609083.0
numpy,1.23.5,1.25.0,1.21.6,"Array processing for numbers, strings, records, and objects.",BSD-3-Clause,Anaconda,,,,153101966.0
oauth2client,4.1.3,4.1.3,,,,,,,,13594085.0
oauthlib,3.2.2,3.2.2,3.2.0,,,,,,,75810226.0
opencv-contrib-python,4.8.0.76,4.8.0.74,4.6.0.66,,,,,,,1049494.0
opencv-python,4.8.0.76,4.8.0.74,4.6.0.66,,,,Wrapper package for OpenCV python bindings.,MIT,PyPI,7998133.0
opencv-python-headless,4.8.0.76,4.8.0.74,4.8.0.74,,,,Wrapper package for OpenCV python bindings.,MIT,PyPI,2383832.0
openpyxl,3.1.2,3.1.2,3.1.2,A Python library to read/write Excel 2010 xlsx/xlsm files,MIT,Anaconda,,,,55859994.0
opt-einsum,3.3.0,3.3.0,3.3.0,,,,,,,9349635.0
optax,0.1.7,0.1.5,,,,,,,,450329.0
orbax-checkpoint,0.3.3,0.2.7,,,,,,,,497607.0
osqp,0.6.2.post8,,,,,,OSQP: The Operator Splitting QP Solver,Apache 2.0,PyPI,1227390.0
packaging,23.1,21.3,23.1,Core utilities for Python packages,Apache-2.0 or BSD-2-Clause,Anaconda,,,,137236086.0
pandas,1.5.3,1.5.3,1.5.3,"High-performance, easy-to-use data structures and data analysis tools.",BSD-3-Clause,Anaconda,,,,119405276.0
pandas-datareader,0.10.0,0.10.0,,"Up to date remote data access for pandas, works for multiple versions of pandas",BSD-3,Anaconda,,,,404546.0
pandas-gbq,0.17.9,,,,,,,,,6885277.0
pandocfilters,1.5.0,1.5.0,1.5.0,A python module for writing pandoc filters,BSD-3-Clause,Anaconda,,,,8461429.0
panel,1.2.1,1.2.0,,The powerful data exploration & web app framework for Python,BSD-3-Clause,Anaconda,,,,425256.0
param,1.13.0,1.13.0,,Param: Make your Python code clearer and more reliable by declaring Parameters,BSD-3-Clause,Anaconda,,,,315158.0
parso,0.8.3,0.8.3,0.8.3,A Python Parser,MIT,Anaconda,,,,16919949.0
partd,1.4.0,1.4.0,,Appendable key-value storage,BSD-3-Clause,Anaconda,,,,4102902.0
pathlib,1.0.1,,,Object-oriented filesystem paths,MIT,Anaconda,,,,2995800.0
pathy,0.10.2,0.10.2,,,,,,,,3930857.0
